"ONTOLOGY" "ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"GO:1903313" "BP" "GO:1903313" "positive regulation of mRNA metabolic process" "39/2723" "84/18862" 2.13349577163892e-12 4.53497042393698e-11 2.70582126273783e-11 "CELF4/ROCK1/NCBP1/RBMX/METTL14/SNW1/PRPF19/HSPA8/ZFP36L2/METTL3/CCNB1/AGO2/POLR2G/NUP98/ZC3HAV1/DHX36/PABPC1/TRA2A/SNRNP70/CNOT6L/UPF1/CNOT1/PRDX6/BTG2/NUDT21/NCL/CDC73/GIGYF2/CELF1/PUM1/KHSRP/TRA2B/YTHDF2/RC3H1/NCBP2/ROCK2/TARDBP/HNRNPR/MOV10" 39
"GO:0050821" "BP" "GO:0050821" "protein stabilization" "66/2723" "191/18862" 2.19225868165899e-12 4.64380864876937e-11 2.77076033739985e-11 "CCT8/GTSE1/EP300/HCFC1/PFN1/FLNA/HSP90AA1/CCT6A/HSP90AB1/RPL23/CLU/FBXW7/USP9X/CCT5/CCNH/CCT2/BAG2/NAA15/CCT4/STXBP1/LAMP1/TCP1/PEX6/CRTAP/PARK7/SYVN1/HSPA1A/HSPA1B/GTPBP4/IGF1/H1-5/NOP53/FLOT1/TP53/PIN1/CREB1/SMAD3/IFI30/PTEN/WFS1/BAG5/HIP1R/HIP1/PTGES3/GAPDH/APOA1/PYHIN1/CTNND1/PHB/USP7/CDK7/GOLGA7/CALR/HSPD1/RPL11/USP13/CCT3/TAF9/STX12/PEX19/PFN2/SUMO1/RTN4/CCT7/RPL5/ATP1B1" 66
"GO:0070997" "BP" "GO:0070997" "neuron death" "99/2723" "342/18862" 2.33708648638788e-12 4.93358154153977e-11 2.94365532486981e-11 "APP/EGLN3/FOS/PSEN1/MYBL2/G6PD/SOD1/AIMP2/CHMP4B/XIAP/NONO/HSP90AB1/AP2B1/TFAP2B/BDNF/HMOX1/TLR4/CCL2/CLU/TERT/CHMP4A/JAK2/FBXW7/UBE2V2/FOXO3/ABL1/EIF2S1/VPS35/MSH2/ATF4/HIPK2/SNCA/FYN/IKBKG/TOX3/NAE1/STXBP1/SIGMAR1/EGLN2/CDK5/HSPA5/LRP1/CX3CL1/AKT1/MTOR/CTNNB1/TNF/PARK7/CASP3/ENDOG/HIF1A/PCSK9/RASA1/AKT2/ITGAM/TIGAR/TP53/PIN1/SET/CREB1/SIRT1/MEF2C/WFS1/BAG5/OXR1/CLN3/GAPDH/NCSTN/EIF4G1/CIT/MYB/HRAS/SRPK2/TBK1/BTG2/LRRK2/WNT5A/MAPT/HTRA2/GSK3B/PM20D1/KIF14/RACK1/ATM/APOE/PRKCG/KRAS/BCL2L11/KDM2B/AGAP2/NF1/UBB/PPT1/JUN/ATG7/PARP1/FAM162A/HDAC4/CDC42" 99
"GO:0006096" "BP" "GO:0006096" "glycolytic process" "47/2723" "114/18862" 2.61771570293739e-12 5.50706423395356e-11 3.28582771363662e-11 "APP/RAE1/PSEN1/EP300/OGT/NUP58/NUP88/PGK2/EIF6/NUP155/PGK1/INSR/PRKAG2/INS/NUP37/HK2/ENO1/GPI/NUP210/GAPDHS/HIF1A/PFKP/HK1/IGF1/ACTN3/PGM2L1/ENO2/TPI1/NUP54/NUP214/NUP98/TIGAR/NUP62/GCK/SEC13/GAPDH/OGDH/TPR/NUP85/PKM/LDHA/GALK1/PKLR/PRKAG1/ARNT/HDAC4/RANBP2" 47
"GO:0051310" "BP" "GO:0051310" "metaphase plate congression" "33/2723" "64/18862" 2.71119034892902e-12 5.68424652336894e-11 3.39154474401683e-11 "VPS4B/CHMP4B/INCENP/CDCA5/NDC80/CHMP5/CHMP4A/BECN1/KIF18A/CDT1/DYNC1H1/CCNB1/RAB11A/EML4/RRS1/CDCA8/NUP62/AURKB/CHMP1A/VPS4A/MLH1/CENPE/SPAG5/KPNB1/NUF2/CDC23/KIF14/KIF22/HNRNPU/CHMP2A/CUL3/NUDC/CENPF" 33
"GO:0045088" "BP" "GO:0045088" "regulation of innate immune response" "93/2723" "315/18862" 3.18134399886357e-12 6.64727761395202e-11 3.96614386109666e-11 "HMGB1/PSMC6/PSMA7/PSMD10/EP300/UBE2K/TRIM21/TAB1/XRCC6/XIAP/CHUK/PSMB7/TRAF6/HSP90AA1/NONO/HSP90AB1/TLR4/SAMHD1/PSMA4/USP18/JAK2/CREBBP/PSMA3/LEP/LYN/SRC/ABCE1/PRKDC/TAB3/HMGB2/FYN/IKBKG/METTL3/POLR3B/INS/LAMP1/PVR/RPS19/TOMM70/PSMA1/PSMB2/PSMA2/PSMC2/A2M/PSMC5/CGAS/XRCC5/NFKB1/PSMD14/MATR3/PSMA5/PSMA6/SKP1/IKBKB/PSMC3/NLRX1/IRF3/TRIM5/RBM14/PYHIN1/CD1D/PSMD2/STAT1/NOD2/HEXIM1/PRKACA/HRAS/PSMB6/TBK1/AP1G1/DHX9/FBXW11/WNT5A/RNASEL/PAK2/PSMD1/LSM14A/APOE/PSMD7/PSMD4/KRAS/PTPN11/PPARG/PSME3/PSMD8/PSMB3/YTHDF2/RAF1/SUMO1/NRAS/IKBKE/IFI16/PSMB4" 93
"GO:0032388" "BP" "GO:0032388" "positive regulation of intracellular transport" "72/2723" "219/18862" 3.50389149636747e-12 7.29640863124927e-11 4.35345234267673e-11 "YWHAB/PCNT/GTSE1/AKAP5/PSEN1/IPO5/MAPK1/ANP32B/ANK3/STOM/FLNA/MSN/HSP90AB1/TCF7L2/JAK2/JUP/FBXW7/CPSF6/LEP/HUWE1/EHD1/FYN/NUTF2/YWHAZ/CD81/UBR5/DYNC1H1/RIOK2/CDK5/IL1B/YWHAG/HSPA1L/KIF20B/SAE1/AKT2/PDCD5/GLI3/ANXA2/EHD2/ITGAM/TP53/SMAD3/UBL5/NEDD4/CSNK2A2/SPAG5/TPR/TOMM7/CDH1/PRKACA/TGFB1/HRAS/RHOU/EZR/DHX9/ERBB2/HTRA2/GSK3B/ECT2/HDAC3/YWHAE/VPS11/PTPN23/PLK3/RAN/TRIM28/NCBP2/KHDRBS1/TARDBP/ACTN2/CDC42/SFN" 72
"GO:0007093" "BP" "GO:0007093" "mitotic cell cycle checkpoint" "58/2723" "159/18862" 3.6780446185852e-12 7.6331851662057e-11 4.55439237621396e-11 "GTSE1/EP300/ZFYVE19/PCNA/MAD2L1/NDC80/AURKA/PML/CDC6/BUB3/TTK/BRCA1/MSH2/PRKDC/NAE1/MRE11/CDT1/CCNB1/BUB1B/CLSPN/NOP53/WEE1/TP53/PLK1/CARM1/AURKB/RPL26/CDK5RAP2/CDK1/VPS4A/KNTC1/CNOT6L/TPR/HMGA2/ZWILCH/CNOT4/CNOT1/PIDD1/BTG2/PRMT1/PLK5/CDC25C/PLK2/CNOT3/TRIP13/ATM/CDK2/CNOT9/CCND1/BUB1/MDM2/PLK3/RPA2/CHFR/TOPBP1/CDC20/SFN/CENPF" 58
"GO:0006757" "BP" "GO:0006757" "ATP generation from ADP" "47/2723" "115/18862" 3.81203961773296e-12 7.88463278509548e-11 4.70442032569419e-11 "APP/RAE1/PSEN1/EP300/OGT/NUP58/NUP88/PGK2/EIF6/NUP155/PGK1/INSR/PRKAG2/INS/NUP37/HK2/ENO1/GPI/NUP210/GAPDHS/HIF1A/PFKP/HK1/IGF1/ACTN3/PGM2L1/ENO2/TPI1/NUP54/NUP214/NUP98/TIGAR/NUP62/GCK/SEC13/GAPDH/OGDH/TPR/NUP85/PKM/LDHA/GALK1/PKLR/PRKAG1/ARNT/HDAC4/RANBP2" 47
"GO:0035196" "BP" "GO:0035196" "production of miRNAs involved in gene silencing by miRNA" "29/2723" "52/18862" 4.28788897215014e-12 8.78066811730608e-11 5.2390459632204e-11 "SMAD2/DICER1/TERT/ZC3H7A/METTL3/TNF/AGO4/AGO1/AGO2/RIPK1/SNIP1/SRRT/HNRNPA2B1/IL6/TP53/SMAD3/EGFR/MAP2K1/AGO3/DDX5/TGFB1/STAT3/ESR1/TARBP2/PUM2/MAP2K2/ZMPSTE24/PUM1/LIN28A" 29
"GO:0034080" "BP" "GO:0034080" "CENP-A containing nucleosome assembly" "26/2723" "43/18862" 4.28813354255547e-12 8.78066811730608e-11 5.2390459632204e-11 "MIS18BP1/RBBP7/SMARCA5/CENPK/CENPA/H4C1/H4C4/RUVBL1/H4C13/OIP5/H4C6/H4C3/H4C8/H4C11/H4C12/NPM1/KNL1/H4C2/H4C5/H4C9/RBBP4/H4-16/NASP/CENPL/H4C15/H4C14" 26
"GO:0061641" "BP" "GO:0061641" "CENP-A containing chromatin organization" "26/2723" "43/18862" 4.28813354255547e-12 8.78066811730608e-11 5.2390459632204e-11 "MIS18BP1/RBBP7/SMARCA5/CENPK/CENPA/H4C1/H4C4/RUVBL1/H4C13/OIP5/H4C6/H4C3/H4C8/H4C11/H4C12/NPM1/KNL1/H4C2/H4C5/H4C9/RBBP4/H4-16/NASP/CENPL/H4C15/H4C14" 26
"GO:0070199" "BP" "GO:0070199" "establishment of protein localization to chromosome" "20/2723" "27/18862" 4.62893262164056e-12 9.44702096170696e-11 5.63662996627117e-11 "CCT8/CCT6A/TERT/DKC1/BRCA2/CCT5/NIPBL/CCT2/CCT4/TCP1/MACROH2A2/H1-5/ATR/TERF1/PIH1D1/RUVBL2/MACROH2A1/ATM/CCT3/CCT7" 20
"GO:0016241" "BP" "GO:0016241" "regulation of macroautophagy" "58/2723" "160/18862" 4.96657629222645e-12 1.01025424381282e-10 6.02775135919572e-11 "UCHL1/PIP4K2A/UBQLN1/ATP6V1E1/CHMP4B/SNX5/HMOX1/ATP6V1B2/CHMP4A/MLST8/BNIP3L/BECN1/VPS35/ATP6V1D/SCFD1/PRKAG2/IKBKG/CAPN1/LAMTOR1/CDK5/AKT1/ATP6V1C1/VDAC1/MTOR/ATP6V0D2/CASP3/HIF1A/VPS26A/MAPK3/RALB/ATP6V1A/SCOC/SUPT5H/IL4/TIGAR/TP53/ATP6V0C/SIRT1/ATP6V0A2/HTT/NEDD4/CLN3/GAPDH/NOD2/PRKACA/ADRB2/TBK1/LRRK2/RNF41/ATP6V0A1/ATP6V0D1/PRKAG1/TSC2/LARP1/ATP6V0B/FYCO1/GNAI3/TMEM39B" 58
"GO:0002831" "BP" "GO:0002831" "regulation of response to biotic stimulus" "114/2723" "420/18862" 5.36456988492061e-12 1.08760900340156e-10 6.48929384724459e-11 "HMGB1/PSMC6/PSMA7/PSMD10/EP300/UBE2K/TRIM21/TAB1/XRCC6/XIAP/EIF2AK4/C1QBP/CHUK/PSMB7/TRAF6/HSP90AA1/NONO/HSP90AB1/TLR4/HTRA1/SAMHD1/PSMA4/USP18/JAK2/CREBBP/PSMA3/LEP/LYN/USP15/SRC/ABCE1/PRKDC/TAB3/PRKCA/HMGB2/FYN/IKBKG/METTL3/POLR3B/INS/LAMP1/PPM1B/PVR/DDX58/CX3CL1/RPS19/TOMM70/PSMA1/PSMB2/PSMA2/MAPK3/PSMC2/A2M/PSMC5/CGAS/XRCC5/NFKB1/PSMD14/NOP53/IL4/TIGAR/MATR3/PSMA5/PSMA6/SKP1/NPLOC4/IKBKB/PSMC3/NLRX1/IRF3/TRIM5/RBM14/PYHIN1/CD1D/PSMD2/STAT1/PRDX2/NOD2/HEXIM1/PRKACA/HRAS/PSMB6/TBK1/AP1G1/DHX9/FBXW11/WNT5A/RNASEL/PAK2/HSPD1/PSMD1/LSM14A/APOE/PSMD7/F2RL1/PSMD4/PCBP2/TARBP2/PUM2/KRAS/PTPN11/PPARG/ZMPSTE24/PUM1/PSME3/PSMD8/PSMB3/YTHDF2/RAF1/SUMO1/NRAS/IKBKE/IFI16/PSMB4" 114
"GO:0098727" "BP" "GO:0098727" "maintenance of cell number" "55/2723" "148/18862" 5.62067456162787e-12 1.1357830207921e-10 6.77672743199038e-11 "SMAD2/LDB2/CDH2/CUL4A/METTL14/SMC1A/POLR2F/YAP1/POLR2E/MED12/FGF2/NIPBL/POLR2L/ZFP36L2/METTL3/POLR2B/SMC5/ZC3H13/POLR2C/MED30/CTNNB1/GNL3/POLR2G/IGF1/CTR9/SRRT/EIF4E/SOX9/SOX2/EPHA1/WDR43/EZH2/BMPR1A/SMC3/RBPJ/GATA2/KLF10/KDM3A/DIS3L2/HMGA2/CNOT1/STAT3/POLR2J/DDX6/POLR2I/CNOT3/CDC73/KDM2B/RIF1/POLR2D/KAT2A/ELAVL1/POLR2H/RAF1/LIN28A" 55
"GO:0043624" "BP" "GO:0043624" "cellular protein complex disassembly" "72/2723" "221/18862" 5.72278873356148e-12 1.15262594066453e-10 6.87722187066819e-11 "DSTN/N6AMT1/MRPL39/VPS4B/MRPS26/OXA1L/TPX2/MRPS2/EPS8/MRPL41/GSPT1/HSPA8/KIF18A/MRPS30/ABCE1/MRPS11/MRPL33/MRPL23/MRPS25/PEX14/MRPS9/MRPL2/MRPL13/MRPL15/MRPS33/CHCHD1/MRPL14/MRPL21/ETF1/MRPL32/GLE1/MRPS18A/MRPL48/MRPL22/MRPL11/EIF5AL1/DNAJC6/CFL1/MRPS34/MRPL17/MRPL4/MRPS5/KIF18B/EIF5A/MRPL12/VPS4A/EIF5A2/KIF2A/MRPS24/TRMT112/GAK/CAPZA2/MRPS16/MRPS27/UPF1/MRPS7/MRPL42/MRPS14/MRPL34/TWF2/MRPL27/DAP3/F2RL1/STMN1/MRPS22/MRPL3/MRPL20/MRPL55/MRPL24/ACTN2/MRPS15/AURKAIP1" 72
"GO:0000460" "BP" "GO:0000460" "maturation of 5.8S rRNA" "23/2723" "35/18862" 6.10176758711069e-12 1.22493981332095e-10 7.3086875604814e-11 "RPS21/EIF6/MAK16/PES1/NOP9/MTREX/PRKDC/EXOSC3/MPHOSPH6/EXOSC8/EXOSC7/UTP20/RRS1/FTSJ3/BOP1/EXOSC4/EXOSC2/KRI1/RRP15/NSA2/WDR12/EXOSC10/RPF1" 23
"GO:0072593" "BP" "GO:0072593" "reactive oxygen species metabolic process" "85/2723" "281/18862" 6.63662512391587e-12 1.32797355492558e-10 7.9234454591034e-11 "MAOB/DRD5/G6PD/EDN1/SOD1/CAT/EIF6/ROMO1/CYB5R4/HSP90AA1/HSP90AB1/TLR4/GCH1/CLU/PRDX3/NOS2/BECN1/JAK2/PRDX4/AGXT2/LEP/INSR/BRCA1/XDH/COQ7/SNCA/NDUFA13/FYN/FBLN5/CYB5R3/BCO2/NDUFS4/INS/HK2/NOS3/GLA/NNT/AKT1/IL1B/VDAC1/MTOR/TNF/PARK7/HIF1A/DHFR/CAV1/ASS1/TGFBR2/RIPK1/SIRT5/NDUFS3/PLA2R1/DYNLL1/ITGAM/TIGAR/TP53/SELENOS/SIRT3/SMAD3/CCN2/EGFR/ARF4/GSTP1/CCS/PRDX2/MMP3/TGFB1/PRDX6/LRRK2/MAPT/AATF/RNF41/GPX1/DNM2/F2RL1/CYB5B/NOS1/KHSRP/MTARC1/PRDX1/HDAC4/GNAI3/PTGS2/ROCK2/NDUFS1" 85
"GO:0071900" "BP" "GO:0071900" "regulation of protein serine/threonine kinase activity" "128/2723" "492/18862" 6.67204647912409e-12 1.33072667276816e-10 7.93987212587494e-11 "PSEN1/PSMD10/UCHL1/IPO5/CCNK/MAPK1/EDN1/SOD1/IGF2/TAB1/CKS2/IRAK1/DNAJA1/EGF/DDX3X/LRP6/INCENP/TRAF6/CCNB2/MAPK11/HSP90AB1/TLR4/CCNT1/BCCIP/CDC6/CCNG2/MAP2K5/HGF/MLST8/PBK/LYN/ADAM17/INSR/ABL1/SRC/CHORDC1/RPS3/CCNH/TAB3/FGF2/SNCA/PRKAR2B/PRKAG2/IKBKG/UBE2N/KAT2B/CCNA2/CDKN2A/NTRK3/CD81/CCNB1/AKT1/IL1B/TNF/CCNE1/YWHAG/HSPB1/CASP3/PPP2CA/ACSL1/CXCR4/CAV1/MAPK3/CDK4/DRD4/GTPBP4/RALB/PPIA/RIPK1/IGF1/ERCC6/DAB2IP/CCNG1/CDK12/NUP62/PLK1/SIRT1/IPO7/CCNJ/EZH2/PTEN/EGFR/HTT/CDK1/ADIPOQ/IRAK2/PIH1D1/GSTP1/PDCD4/CIT/MAP2K1/PRDX2/HMGA2/NOD2/HGS/HEXIM1/TGFB1/HRAS/ADRB2/ERBB2/LRRK2/CDC25C/WNT5A/CDK7/MACROH2A1/APOE/TF/UBA52/PRKAG1/ERP29/THY1/CCND1/RHOA/KRAS/PTPN11/PRKAR2A/UBC/MAP2K2/NF1/UBB/RPS27A/GDF15/KSR1/MAP3K2/CALM2/SHC1/CKS1B/SFN" 128
"GO:0002833" "BP" "GO:0002833" "positive regulation of response to biotic stimulus" "80/2723" "258/18862" 6.85448551054628e-12 1.3626894657374e-10 8.1305803262552e-11 "HMGB1/PSMC6/PSMA7/PSMD10/EP300/UBE2K/TAB1/XRCC6/CHUK/PSMB7/TRAF6/HSP90AA1/NONO/TLR4/PSMA4/CREBBP/PSMA3/LYN/USP15/SRC/PRKDC/TAB3/PRKCA/HMGB2/FYN/IKBKG/POLR3B/LAMP1/PVR/RPS19/TOMM70/PSMA1/PSMB2/PSMA2/PSMC2/PSMC5/CGAS/XRCC5/NFKB1/PSMD14/MATR3/PSMA5/PSMA6/SKP1/IKBKB/PSMC3/IRF3/TRIM5/RBM14/PYHIN1/CD1D/PSMD2/NOD2/HEXIM1/PRKACA/HRAS/PSMB6/TBK1/AP1G1/DHX9/FBXW11/WNT5A/PAK2/HSPD1/PSMD1/LSM14A/PSMD7/F2RL1/PSMD4/PUM2/KRAS/PUM1/PSME3/PSMD8/PSMB3/RAF1/NRAS/IKBKE/IFI16/PSMB4" 80
"GO:0007088" "BP" "GO:0007088" "regulation of mitotic nuclear division" "45/2723" "109/18862" 7.18264796452757e-12 1.42332278858364e-10 8.49235321306792e-11 "EDN1/CDC16/IGF2/PRMT5/EGF/MAD2L1/NDC80/AURKA/MKI67/BUB3/CDC27/INSR/TTK/FBXO5/INS/ANAPC5/CDT1/CCNB1/BUB1B/IL1B/ANAPC4/KIF20B/IGF1/PIN1/NUP62/PLK1/NUSAP1/AURKB/CDK5RAP2/KNTC1/ESPL1/TPR/NEK2/CDC23/CDC25C/TRIP13/OBSL1/ATM/BUB1/CDC20/CUL3/CDC42/RCC1/CENPF/AURKAIP1" 45
"GO:0034508" "BP" "GO:0034508" "centromere complex assembly" "30/2723" "56/18862" 7.37610992150088e-12 1.45695958996077e-10 8.69304949963313e-11 "RNF4/MIS18BP1/RBBP7/SMARCA5/CENPK/HELLS/CENPA/H4C1/H4C4/RUVBL1/H4C13/OIP5/H4C6/H4C3/H4C8/CENPE/H4C11/H4C12/NPM1/KNL1/H4C2/H4C5/H4C9/RBBP4/H4-16/NASP/CENPL/CENPF/H4C15/H4C14" 30
"GO:0006890" "BP" "GO:0006890" "retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum" "39/2723" "87/18862" 8.35756978534531e-12 1.64553048690308e-10 9.81817071274372e-11 "KIF4A/KDELR3/ARFGAP1/BICD2/TMED10/ARFGAP2/PICK1/KIF18A/SCFD1/GOLPH3/COPG2/SURF4/KIF15/RER1/TMED7/RAB1A/KIF11/COPB1/ARF3/KIF4B/TMED9/KIF23/TMED2/HTT/COG4/KLC1/ARF4/KIF2A/COPZ1/CENPE/COPA/COPE/ARCN1/COPB2/KIF22/BET1L/LMAN2/ERGIC1/COPG1" 39
"GO:0048732" "BP" "GO:0048732" "gland development" "112/2723" "413/18862" 8.77073881456927e-12 1.71629077858671e-10 1.02403668549379e-10 "SMAD2/ADA/OTC/TGM2/FOXA1/PSEN1/SRSF5/UPF2/AIRE/ONECUT2/MAPK1/SOD1/PHF2/IGF2/PRMT5/AR/EGF/PCNA/LRP6/TGFBR1/MSN/CCNB2/HMOX1/AURKA/PML/PCK2/HGF/SLC6A3/JAK2/FBXW7/ABL1/BRCA2/SRC/XDH/SRP54/SULF1/PRKDC/SLC9A3R1/RPL30/CEBPG/CAPN1/HK2/SRF/HMGCS1/AKT1/SMARCC1/DDX39B/TNF/HIF1A/CPT1A/EPHA2/CAV1/MET/MAPK3/ASS1/TGFBR2/PCSK9/AKT2/GLI3/SOX9/IL6/SCRIB/FGFR2/SOX2/CREB1/FGF7/SMAD3/ARF6/EZH2/PTEN/EGFR/BMPR1A/DDR1/UGT1A1/RBPJ/GATA2/CSNK2A2/NME1/APOA1/MAP2K1/PRDX2/CDH1/TGFB1/GOT2/HRAS/KDM5B/PKM/ESR1/WNT5A/DHODH/GPAT4/PGR/WNT11/ATM/GPX1/GFER/CCND1/KRAS/BCL2L11/FASN/ZMPSTE24/UMPS/NF1/PLXND1/ASH1L/RAF1/RTN4/CUL3/CAD/MTX1/CDC42/WDR77" 112
"GO:0007080" "BP" "GO:0007080" "mitotic metaphase plate congression" "28/2723" "50/18862" 8.77283582087297e-12 1.71629077858671e-10 1.02403668549379e-10 "VPS4B/CHMP4B/CDCA5/NDC80/CHMP5/CHMP4A/BECN1/KIF18A/CDT1/CCNB1/RAB11A/EML4/RRS1/CDCA8/NUP62/AURKB/CHMP1A/VPS4A/CENPE/KPNB1/NUF2/CDC23/KIF14/KIF22/HNRNPU/CHMP2A/CUL3/NUDC" 28
"GO:0031055" "BP" "GO:0031055" "chromatin remodeling at centromere" "27/2723" "47/18862" 9.09903213063377e-12 1.77445569455502e-10 1.05874118225119e-10 "MIS18BP1/RBBP7/SMARCA5/CENPK/HELLS/CENPA/H4C1/H4C4/RUVBL1/H4C13/OIP5/H4C6/H4C3/H4C8/H4C11/H4C12/NPM1/KNL1/H4C2/H4C5/H4C9/RBBP4/H4-16/NASP/CENPL/H4C15/H4C14" 27
"GO:1901214" "BP" "GO:1901214" "regulation of neuron death" "89/2723" "302/18862" 1.03731038865654e-11 2.01651826503706e-10 1.20316947811528e-10 "EGLN3/FOS/PSEN1/MYBL2/G6PD/SOD1/AIMP2/CHMP4B/NONO/HSP90AB1/AP2B1/TFAP2B/BDNF/HMOX1/TLR4/CCL2/CLU/TERT/CHMP4A/JAK2/FBXW7/UBE2V2/FOXO3/ABL1/EIF2S1/VPS35/MSH2/ATF4/HIPK2/SNCA/FYN/IKBKG/TOX3/NAE1/STXBP1/SIGMAR1/EGLN2/CDK5/LRP1/CX3CL1/AKT1/MTOR/CTNNB1/TNF/PARK7/CASP3/HIF1A/PCSK9/RASA1/ITGAM/TIGAR/TP53/PIN1/SET/CREB1/SIRT1/MEF2C/WFS1/OXR1/CLN3/EIF4G1/MYB/HRAS/SRPK2/TBK1/BTG2/LRRK2/WNT5A/MAPT/HTRA2/GSK3B/PM20D1/KIF14/RACK1/ATM/APOE/PRKCG/KRAS/BCL2L11/KDM2B/AGAP2/NF1/UBB/PPT1/JUN/ATG7/PARP1/HDAC4/CDC42" 89
"GO:0000910" "BP" "GO:0000910" "cytokinesis" "60/2723" "171/18862" 1.04718046647097e-11 2.02928378723381e-10 1.2107861146445e-10 "ROCK1/SON/KIF4A/VPS4B/KIF13A/ANK3/ZFYVE19/CHMP4B/INCENP/SEPTIN5/ANLN/PLK4/PIK3C3/CHMP5/AURKA/CDC6/CHMP4A/BECN1/BRCA2/CENPA/CETN2/CKAP2/PRC1/DCTN3/RAB11A/ACTR3/KIF20A/KIF20B/RASA1/KIF4B/KIF23/PIN1/NUP62/PLK1/NUSAP1/AURKB/CHMP1A/SEPTIN2/VPS4A/CDC14A/ESPL1/SEPTIN7/CIT/PRPF40A/PLK5/PLK2/ECT2/KIF14/RHOA/STMN1/PLK3/CHMP2A/STAMBP/SETD2/BIRC6/ROCK2/ACTR2/CALM2/CUL3/CDC42" 60
"GO:0006520" "BP" "GO:0006520" "cellular amino acid metabolic process" "95/2723" "331/18862" 1.10677233484513e-11 2.13696552052161e-10 1.27503516068032e-10 "GART/OTC/SLC25A21/PSMC6/AHCY/PSMA7/CBS/PSMD10/EEF1E1/NARS1/PSAT1/CBSL/AIMP2/MAT1A/PSMB7/NARS2/MSRA/SHMT2/PSMA4/NOS2/CARS2/AGXT2/PSMA3/HIBADH/ATF4/INS/NOS3/GARS1/PEPD/PARK7/HIBCH/CARS1/PPA1/VARS1/BCKDK/PSMA1/RARS1/DHFR/PSMB2/MARS1/PSMA2/DARS1/ASS1/PSMC2/GFPT2/PSMC5/ALDH18A1/SEPSECS/KARS1/PSMD14/AIMP1/LARS1/GMPS/GLUD1/AASS/SARS2/TARS3/PLOD2/DPYD/PSMA5/PSMA6/SARS1/PSMC3/SCLY/CLN3/PSMD2/DLD/TARS1/OGDH/GOT2/PSMB6/ACY1/QARS1/PM20D1/MRI1/PSMD1/ODC1/PSMD7/GLUL/PSMD4/ASPA/NOS1/PHGDH/SHMT1/PSME3/PSMD8/MCCC1/PSMB3/YARS1/CAD/TARS2/EPRS1/IARS2/PSMB4/MTHFR" 95
"GO:0048863" "BP" "GO:0048863" "stem cell differentiation" "78/2723" "251/18862" 1.1097053573928e-11 2.13696552052161e-10 1.27503516068032e-10 "FOXA1/PSMC6/PSMA7/PSMD10/CDH2/MAPK1/EDN1/PHF5A/TWIST1/LRP6/PSMB7/YAP1/PSMA4/PSMA3/HOXB4/ABL1/PRKDC/ZFP36L2/METTL3/TAPT1/SNAI2/SRF/TCF12/HIF1A/NOLC1/PSMA1/PSMB2/PSMA2/MAPK3/PSMC2/A2M/PSMC5/SEMA4G/XRCC5/SOX9/PSMD14/CDK12/TP53/FGFR2/DHX36/MEF2C/PSMA5/PSMA6/BMPR1A/NSUN2/PSMC3/RBPJ/GATA2/KDM3A/EEF1AKMT4-ECE2/PSMD2/ACE/HMGA2/HSPA9/MYB/PSMB6/ESR1/TCOF1/KMT2A/NUDT21/SETD1A/LMBR1L/PSMD1/HNRNPU/PSMD7/ERCC2/PSMD4/PWP1/FN1/PUM1/PSME3/PSMD8/PSMB3/ACVR1/SETD2/YTHDF2/LIN28A/PSMB4" 78
"GO:0009185" "BP" "GO:0009185" "ribonucleoside diphosphate metabolic process" "52/2723" "138/18862" 1.1469190621232e-11 2.20172618706964e-10 1.3136750573398e-10 "APP/RAE1/PSEN1/NUDT5/EP300/OGT/NUP58/NUP88/PGK2/EIF6/NUP155/PGK1/INSR/PRKAG2/INS/NUP37/HK2/ENO1/GPI/NUP210/GAPDHS/HIF1A/PFKP/HK1/IGF1/ACTN3/PGM2L1/ENO2/TPI1/NUP54/NUP214/NUP98/TIGAR/NUP62/GCK/SEC13/MAGI3/GAPDH/NUDT16/OGDH/TPR/NUP85/PKM/DLG1/LDHA/GALK1/PKLR/PRKAG1/ARNT/GUK1/HDAC4/RANBP2" 52
"GO:1903312" "BP" "GO:1903312" "negative regulation of mRNA metabolic process" "39/2723" "88/18862" 1.29299344549973e-11 2.47441082109185e-10 1.47637421781606e-10 "CELF4/DYRK1A/SRSF6/RBMX/C1QBP/ZC3H14/CDK9/CCNT1/HNRNPK/RNPS1/RNF20/FMR1/SAP18/RBM10/SRSF7/PAIP1/MTOR/SYNCRIP/BARD1/FUS/CTR9/SUPT5H/SRSF9/HNRNPA2B1/HNRNPC/PABPC1/U2AF2/TENT4A/PTBP1/MYD88/DHX9/HNRNPU/HNRNPA0/LARP1/ELAVL1/TAF15/YBX1/TARDBP/SRSF10" 39
"GO:0050000" "BP" "GO:0050000" "chromosome localization" "37/2723" "81/18862" 1.4296309024819e-11 2.7273983335237e-10 1.62732095535861e-10 "VPS4B/CHMP4B/INCENP/CDCA5/NDC80/CHMP5/CHMP4A/BECN1/KIF18A/CDT1/DYNC1H1/CCNB1/RAB11A/EML4/ACTR3/RRS1/CDCA8/NUP62/AURKB/CHMP1A/VPS4A/MLH1/CENPE/SPAG5/KPNB1/NUF2/CDC23/KIF14/KIF22/HNRNPU/ATM/CHMP2A/ACTR2/CUL3/LMNA/NUDC/CENPF" 37
